,title,imageUrl,x,y,sn
69,70: Guitar Hero,https://www.explainxkcd.com/wiki/images/5/53/guitar_hero.jpg,6.103572845458984,36.54371643066406,70
70,71: In the Trees,https://www.explainxkcd.com/wiki/images/c/c6/in_the_trees.jpg,13.348745346069336,-7.720109462738037,71
71,72: Classhole,https://www.explainxkcd.com/wiki/images/9/95/classhole.jpg,-25.325992584228516,36.23417282104492,72
72,73: Zeppelin,https://www.explainxkcd.com/wiki/images/9/99/zeppelin.jpg,-0.9321357607841492,-7.22109842300415,73
73,74: Su Doku,https://www.explainxkcd.com/wiki/images/0/0c/su_doku.jpg,-14.742506980895996,-19.831815719604492,74
74,75: Curse Levels,https://www.explainxkcd.com/wiki/images/c/cc/curse_levels.jpg,3.873422384262085,-6.356464862823486,75
75,76: Familiar,https://www.explainxkcd.com/wiki/images/1/16/familiar.jpg,5.933225154876709,41.26349639892578,76
76,77: Bored with the Internet,https://www.explainxkcd.com/wiki/images/a/a8/bored_with_the_internet.jpg,-18.33091163635254,40.50966262817383,77
77,78: Garfield,https://www.explainxkcd.com/wiki/images/b/be/garfield.jpg,0.9195631146430969,-6.41145133972168,78
78,79: Iambic Pentameter,https://www.explainxkcd.com/wiki/images/f/ff/iambic_pentameter.jpg,32.862518310546875,-17.278335571289062,79
79,80: My Other Car,https://www.explainxkcd.com/wiki/images/2/20/other_car.jpg,-33.32339859008789,14.732402801513672,80
80,"81: Attention, shopper",https://www.explainxkcd.com/wiki/images/1/17/attention_shopper.jpg,-26.15447425842285,33.50114440917969,81
81,82: Frame,https://www.explainxkcd.com/wiki/images/f/f9/frame.jpg,-13.784567832946777,20.05422019958496,82
82,83: Katamari,https://www.explainxkcd.com/wiki/images/f/f5/katamari.jpg,12.961593627929688,-1.7562299966812134,83
83,84: National Language,https://www.explainxkcd.com/wiki/images/b/b4/national_language.jpg,16.731143951416016,30.29290771484375,84
84,85: Paths,https://www.explainxkcd.com/wiki/images/2/27/paths.jpg,-24.375831604003906,-19.839033126831055,85
85,86: Digital Rights Management,https://www.explainxkcd.com/wiki/images/7/77/sony_microsoft_mpaa_riaa_apple.jpg,-23.811214447021484,35.30901336669922,86
86,87: Velociraptors,https://www.explainxkcd.com/wiki/images/b/b9/velociraptors.jpg,-5.586814880371094,-0.6324797868728638,87
87,88: Escher Bracelet,https://www.explainxkcd.com/wiki/images/d/d9/escher_wristband.jpg,0.11130092293024063,-9.668689727783203,88
88,89: Gravitational Mass,https://www.explainxkcd.com/wiki/images/9/9f/gravitational_mass.jpg,-24.437843322753906,34.39796447753906,89
89,90: Jacket,https://www.explainxkcd.com/wiki/images/c/cb/jacket.jpg,36.64933395385742,-17.767396926879883,90
90,91: Pwned,https://www.explainxkcd.com/wiki/images/0/07/pwned.png,-1.3228784799575806,-9.741493225097656,91
91,92: Sunrise,https://www.explainxkcd.com/wiki/images/9/9e/sunrise.jpg,6.207810401916504,39.41885757446289,92
92,93: Jeremy Irons,https://www.explainxkcd.com/wiki/images/c/c5/jeremy_irons.jpg,12.155996322631836,7.637540817260742,93
93,94: Profile Creation Flowchart,https://www.explainxkcd.com/wiki/images/e/e3/profile_flowchart.jpg,31.15212631225586,-17.852197647094727,94
